MaBL,MaNV,MaLCB,MaPC,MaKT,MaGL,Thang,TongLuong,NgayTinhLuong,TrangThai,SoNgayLam
BL001,NV001,LCB001,PC001,KT001,GL002,2026-01,10395000,2026-01-31,Đã Tính,26
BL002,NV002,LCB001,PC001,KT001,GL002,2026-01,10395000,2026-01-31,Đã Tính,26
BL003,NV003,LCB001,PC001,KT001,GL002,2026-01,10395000,2026-01-31,Đã Tính,26
BL004,NV004,LCB001,PC001,KT001,GL002,2026-01,10395000,2026-01-31,Đã Tính,26
BL005,NV005,LCB001,PC001,KT001,GL002,2026-01,10395000,2026-01-31,Đã Tính,26
BL006,NV006,LCB002,PC001,KT002,GL002,2026-01,12696000,2026-01-31,Đã Tính,26
BL007,NV007,LCB002,PC001,KT002,GL002,2026-01,12696000,2026-01-31,Đã Tính,26
BL008,NV008,LCB002,PC001,KT002,GL002,2026-01,12696000,2026-01-31,Đã Tính,26
BL009,NV009,LCB002,PC001,KT002,GL002,2026-01,12696000,2026-01-31,Đã Tính,26
BL010,NV010,LCB002,PC001,KT002,GL002,2026-01,12696000,2026-01-31,Đã Tính,26
BL011,NV011,LCB003,PC001,KT003,GL002,2026-01,16917375,2026-01-31,Đã Tính,26
BL012,NV012,LCB003,PC001,KT003,GL002,2026-01,16917375,2026-01-31,Đã Tính,26
BL013,NV013,LCB003,PC001,KT003,GL002,2026-01,16917375,2026-01-31,Đã Tính,26
BL014,NV014,LCB003,PC001,KT003,GL002,2026-01,16917375,2026-01-31,Đã Tính,26
BL015,NV015,LCB003,PC001,KT003,GL002,2026-01,16917375,2026-01-31,Đã Tính,26
BL016,NV016,LCB001,PC001,KT004,GL002,2026-01,11434500,2026-01-31,Đã Tính,26
BL017,NV017,LCB001,PC001,KT004,GL002,2026-01,11434500,2026-01-31,Đã Tính,26
BL018,NV018,LCB001,PC001,KT004,GL002,2026-01,11434500,2026-01-31,Đã Tính,26
BL019,NV019,LCB001,PC001,KT004,GL002,2026-01,11434500,2026-01-31,Đã Tính,26
BL020,NV020,LCB001,PC001,KT004,GL002,2026-01,11434500,2026-01-31,Đã Tính,26
BL021,NV021,LCB001,PC001,KT001,GL002,2026-01,10395000,2026-01-31,Đã Tính,26
BL022,NV022,LCB001,PC001,KT001,GL002,2026-01,10395000,2026-01-31,Đã Tính,26
BL023,NV023,LCB001,PC001,KT001,GL002,2026-01,10395000,2026-01-31,Đã Tính,26
BL024,NV024,LCB001,PC001,KT001,GL002,2026-01,10395000,2026-01-31,Đã Tính,26
BL025,NV025,LCB001,PC001,KT001,GL002,2026-01,10395000,2026-01-31,Đã Tính,26
BL026,NV026,LCB001,PC001,KT001,GL002,2026-01,10395000,2026-01-31,Đã Tính,26
BL027,NV027,LCB001,PC001,KT001,GL002,2026-01,10395000,2026-01-31,Đã Tính,26
BL028,NV028,LCB001,PC001,KT001,GL002,2026-01,10395000,2026-01-31,Đã Tính,26
BL029,NV029,LCB001,PC001,KT001,GL002,2026-01,10395000,2026-01-31,Đã Tính,26
BL030,NV030,LCB001,PC001,KT001,GL002,2026-01,10395000,2026-01-31,Đã Tính,26
BL031,NV031,LCB001,PC001,KT001,GL002,2026-01,10395000,2026-01-31,Đã Tính,26
BL032,NV032,LCB001,PC001,KT001,GL002,2026-01,10395000,2026-01-31,Đã Tính,26
BL033,NV033,LCB001,PC001,KT001,GL002,2026-01,10395000,2026-01-31,Đã Tính,26
BL034,NV034,LCB001,PC001,KT001,GL002,2026-01,10395000,2026-01-31,Đã Tính,26
BL035,NV035,LCB001,PC001,KT001,GL002,2026-01,10395000,2026-01-31,Đã Tính,26
BL036,NV036,LCB001,PC001,KT001,GL002,2026-01,10395000,2026-01-31,Đã Tính,26
BL037,NV037,LCB001,PC001,KT001,GL002,2026-01,10395000,2026-01-31,Đã Tính,26
BL038,NV038,LCB001,PC001,KT001,GL002,2026-01,10395000,2026-01-31,Đã Tính,26
BL039,NV039,LCB001,PC001,KT001,GL002,2026-01,10395000,2026-01-31,Đã Tính,26
BL040,NV040,LCB001,PC001,KT001,GL002,2026-01,10395000,2026-01-31,Đã Tính,26
BL041,NV041,LCB002,PC001,KT002,GL002,2026-01,12696000,2026-01-31,Đã Tính,26
BL042,NV042,LCB002,PC001,KT002,GL002,2026-01,12696000,2026-01-31,Đã Tính,26
BL043,NV043,LCB002,PC001,KT002,GL002,2026-01,12696000,2026-01-31,Đã Tính,26
BL044,NV044,LCB002,PC001,KT002,GL002,2026-01,12696000,2026-01-31,Đã Tính,26
BL045,NV045,LCB002,PC001,KT002,GL002,2026-01,12696000,2026-01-31,Đã Tính,26
BL046,NV046,LCB002,PC001,KT002,GL002,2026-01,12696000,2026-01-31,Đã Tính,26
BL047,NV047,LCB002,PC001,KT002,GL002,2026-01,12696000,2026-01-31,Đã Tính,26
BL048,NV048,LCB002,PC001,KT002,GL002,2026-01,12696000,2026-01-31,Đã Tính,26
BL049,NV049,LCB002,PC001,KT002,GL002,2026-01,12696000,2026-01-31,Đã Tính,26
BL050,NV050,LCB002,PC001,KT002,GL002,2026-01,12696000,2026-01-31,Đã Tính,26
BL051,NV051,LCB002,PC001,KT002,GL002,2026-01,12696000,2026-01-31,Đã Tính,26
BL052,NV052,LCB002,PC001,KT002,GL002,2026-01,12696000,2026-01-31,Đã Tính,26
BL053,NV053,LCB002,PC001,KT002,GL002,2026-01,12696000,2026-01-31,Đã Tính,26
BL054,NV054,LCB002,PC001,KT002,GL002,2026-01,12696000,2026-01-31,Đã Tính,26
BL055,NV055,LCB002,PC001,KT002,GL002,2026-01,12696000,2026-01-31,Đã Tính,26
BL056,NV056,LCB002,PC001,KT002,GL002,2026-01,12696000,2026-01-31,Đã Tính,26
BL057,NV057,LCB002,PC001,KT002,GL002,2026-01,12696000,2026-01-31,Đã Tính,26
BL058,NV058,LCB002,PC001,KT002,GL002,2026-01,12696000,2026-01-31,Đã Tính,26
BL059,NV059,LCB002,PC001,KT002,GL002,2026-01,12696000,2026-01-31,Đã Tính,26
BL060,NV060,LCB002,PC001,KT002,GL002,2026-01,12696000,2026-01-31,Đã Tính,26
BL061,NV061,LCB003,PC001,KT003,GL002,2026-01,16917375,2026-01-31,Đã Tính,26
BL062,NV062,LCB003,PC001,KT003,GL002,2026-01,16917375,2026-01-31,Đã Tính,26
BL063,NV063,LCB003,PC001,KT003,GL002,2026-01,16917375,2026-01-31,Đã Tính,26
BL064,NV064,LCB003,PC001,KT003,GL002,2026-01,16917375,2026-01-31,Đã Tính,26
BL065,NV065,LCB003,PC001,KT003,GL002,2026-01,16917375,2026-01-31,Đã Tính,26
BL066,NV066,LCB003,PC001,KT003,GL002,2026-01,16917375,2026-01-31,Đã Tính,26
BL067,NV067,LCB003,PC001,KT003,GL002,2026-01,16917375,2026-01-31,Đã Tính,26
BL068,NV068,LCB003,PC001,KT003,GL002,2026-01,16917375,2026-01-31,Đã Tính,26
BL069,NV069,LCB003,PC001,KT003,GL002,2026-01,16917375,2026-01-31,Đã Tính,26
BL070,NV070,LCB003,PC001,KT003,GL002,2026-01,16917375,2026-01-31,Đã Tính,26
BL071,NV071,LCB003,PC001,KT003,GL002,2026-01,16917375,2026-01-31,Đã Tính,26
BL072,NV072,LCB003,PC001,KT003,GL002,2026-01,16917375,2026-01-31,Đã Tính,26
BL073,NV073,LCB003,PC001,KT003,GL002,2026-01,16917375,2026-01-31,Đã Tính,26
BL074,NV074,LCB003,PC001,KT003,GL002,2026-01,16917375,2026-01-31,Đã Tính,26
BL075,NV075,LCB003,PC001,KT003,GL002,2026-01,16917375,2026-01-31,Đã Tính,26
BL076,NV076,LCB003,PC001,KT003,GL002,2026-01,16917375,2026-01-31,Đã Tính,26
BL077,NV077,LCB003,PC001,KT003,GL002,2026-01,16917375,2026-01-31,Đã Tính,26
BL078,NV078,LCB003,PC001,KT003,GL002,2026-01,16917375,2026-01-31,Đã Tính,26
BL079,NV079,LCB003,PC001,KT003,GL002,2026-01,16917375,2026-01-31,Đã Tính,26
BL080,NV080,LCB003,PC001,KT003,GL002,2026-01,16917375,2026-01-31,Đã Tính,26
BL081,NV081,LCB001,PC001,KT004,GL002,2026-01,11434500,2026-01-31,Đã Tính,26
BL082,NV082,LCB001,PC001,KT004,GL002,2026-01,11434500,2026-01-31,Đã Tính,26
BL083,NV083,LCB001,PC001,KT004,GL002,2026-01,11434500,2026-01-31,Đã Tính,26
BL084,NV084,LCB001,PC001,KT004,GL002,2026-01,11434500,2026-01-31,Đã Tính,26
BL085,NV085,LCB001,PC001,KT004,GL002,2026-01,11434500,2026-01-31,Đã Tính,26
BL086,NV086,LCB001,PC001,KT004,GL002,2026-01,11434500,2026-01-31,Đã Tính,26
BL087,NV087,LCB001,PC001,KT004,GL002,2026-01,11434500,2026-01-31,Đã Tính,26
BL088,NV088,LCB001,PC001,KT004,GL002,2026-01,11434500,2026-01-31,Đã Tính,26
BL089,NV089,LCB001,PC001,KT004,GL002,2026-01,11434500,2026-01-31,Đã Tính,26
BL090,NV090,LCB001,PC001,KT004,GL002,2026-01,11434500,2026-01-31,Đã Tính,26
BL091,NV091,LCB001,PC001,KT004,GL002,2026-01,11434500,2026-01-31,Đã Tính,26
BL092,NV092,LCB001,PC001,KT004,GL002,2026-01,11434500,2026-01-31,Đã Tính,26
BL093,NV093,LCB001,PC001,KT004,GL002,2026-01,11434500,2026-01-31,Đã Tính,26
BL094,NV094,LCB001,PC001,KT004,GL002,2026-01,11434500,2026-01-31,Đã Tính,26
BL095,NV095,LCB001,PC001,KT004,GL002,2026-01,11434500,2026-01-31,Đã Tính,26
BL096,NV096,LCB001,PC001,KT004,GL002,2026-01,11434500,2026-01-31,Đã Tính,26
BL097,NV097,LCB001,PC001,KT004,GL002,2026-01,11434500,2026-01-31,Đã Tính,26
BL098,NV098,LCB001,PC001,KT004,GL002,2026-01,11434500,2026-01-31,Đã Tính,26
BL099,NV099,LCB001,PC001,KT004,GL002,2026-01,11434500,2026-01-31,Đã Tính,26
BL100,NV100,LCB001,PC001,KT004,GL002,2026-01,11434500,2026-01-31,Đã Tính,26
BL101,NV001,LCB001,PC001,KT001,GL002,2026-02,10395000,2026-02-28,Đã Tính,26
BL102,NV002,LCB001,PC001,KT001,GL002,2026-02,10395000,2026-02-28,Đã Tính,26
BL103,NV003,LCB001,PC001,KT001,GL002,2026-02,10395000,2026-02-28,Đã Tính,26
BL104,NV004,LCB001,PC001,KT001,GL002,2026-02,10395000,2026-02-28,Đã Tính,26
BL105,NV005,LCB001,PC001,KT001,GL002,2026-02,10395000,2026-02-28,Đã Tính,26
