MaPC,LoaiPC,SoTien
PC001,Phụ Cấp sinh hoạt,300000
PC002,Phụ Cấp trách nhiệm,500000
PC003,Phụ Cấp độc hại,200000
PC004,Phụ Cấp đi lại,100000
PC005,Phụ Cấp điện thoại,50000
PC006,Phụ Cấp thâm niên,200000
PC007,Phụ Cấp lưu động,150000
PC008,Phụ Cấp khu vực,100000
PC009,Phụ Cấp chuyên môn,200000
PC010,Phụ Cấp quản lý,300000
PC011,Phụ Cấp lưu động,150000
PC012,Phụ Cấp khu vực,100000
PC013,Phụ Cấp chuyên môn,200000
PC014,Phụ Cấp quản lý,300000
PC015,Phụ Cấp lưu động,150000
PC016,Phụ Cấp khu vực,100000
PC017,Phụ Cấp chuyên môn,200000
PC018,Phụ Cấp quản lý,300000
PC019,Phụ Cấp lưu động,150000
PC020,Phụ Cấp khu vực,100000
PC021,Phụ Cấp chuyên môn,200000
PC022,Phụ Cấp quản lý,300000
PC023,Phụ Cấp lưu động,150000
PC024,Phụ Cấp khu vực,100000
PC025,Phụ Cấp chuyên môn,200000
PC026,Phụ Cấp quản lý,300000
PC027,Phụ Cấp lưu động,150000
PC028,Phụ Cấp khu vực,100000
PC029,Phụ Cấp chuyên môn,200000
PC030,Phụ Cấp quản lý,300000
PC031,Phụ Cấp lưu động,150000
PC032,Phụ Cấp khu vực,100000
PC033,Phụ Cấp chuyên môn,200000
PC034,Phụ Cấp quản lý,300000
PC035,Phụ Cấp lưu động,150000
PC036,Phụ Cấp khu vực,100000
PC037,Phụ Cấp chuyên môn,200000
PC038,Phụ Cấp quản lý,300000
PC039,Phụ Cấp lưu động,150000
PC040,Phụ Cấp khu vực,100000
PC041,Phụ Cấp chuyên môn,200000
PC042,Phụ Cấp quản lý,300000
PC043,Phụ Cấp lưu động,150000
PC044,Phụ Cấp khu vực,100000
PC045,Phụ Cấp chuyên môn,200000
PC046,Phụ Cấp quản lý,300000
PC047,Phụ Cấp lưu động,150000
PC048,Phụ Cấp khu vực,100000
PC049,Phụ Cấp chuyên môn,200000
PC050,Phụ Cấp quản lý,300000
